,,,SolarPV_01,BESS_01,AEL_01,PEMEL_01,HEMEL_01,H2Tank_01
period1,sc01,t0308, 0.000035490808 ,,,,,
period1,sc01,t0309, 0.000023515382 ,,,,,
period1,sc01,t0310, 0.000008927134 ,,,,,
period1,sc01,t0311, 0.00001045128 ,,,,,
period1,sc01,t0312, 0.00001045128 ,,,,,
period1,sc01,t0313, 0.00001219316 ,,,,,
period1,sc01,t0314, 0.00001262863 ,,,,,
period1,sc01,t0315, 0.000013281836 ,,,,,
period1,sc01,t0316, 0.000011322222 ,,,,,
period1,sc01,t0317, 0.000008927134 ,,,,,
period1,sc01,t0318, 0.00001262863 ,,,,,
period1,sc01,t0319, 0.000025474996 ,,,,,
period1,sc01,t0320, 0.000335311906 ,,,,,
period1,sc01,t0321, 0.139583379 ,,,,,
period1,sc01,t0322, 2.85851658 ,,,,,
period1,sc01,t0323, 8.487608754 ,,,,,
period1,sc01,t0324, 12.849215382 ,,,,,
period1,sc01,t0325, 15.570872454 ,,,,,
period1,sc01,t0326, 16.586305776 ,,,,,
period1,sc01,t0327, 15.979380336 ,,,,,
period1,sc01,t0328, 13.57237866 ,,,,,
period1,sc01,t0329, 8.936314878 ,,,,,
period1,sc01,t0330, 2.3084918328 ,,,,,
period1,sc01,t0331, 0.000814764386 ,,,,,
period1,sc01,t0332, 0.000025039526 ,,,,,
period1,sc01,t0333, 0.00002003162 ,,,,,
period1,sc01,t0334, 0.000010015812 ,,,,,
period1,sc01,t0335, 0.00001045128 ,,,,,
period1,sc01,t0336, 0.000008273932 ,,,,,
period1,sc01,t0337, 0.000009580342 ,,,,,
period1,sc01,t0338, 0.000011975424 ,,,,,
period1,sc01,t0339, 0.000010015812 ,,,,,
period1,sc01,t0340, 0.000008927134 ,,,,,
period1,sc01,t0341, 0.000010669014 ,,,,,
period1,sc01,t0342, 0.0000174188 ,,,,,
period1,sc01,t0343, 0.000030265168 ,,,,,
period1,sc01,t0344, 0.000336182846 ,,,,,
period1,sc01,t0345, 0.22518589584 ,,,,,
period1,sc01,t0346, 3.8023259706 ,,,,,
period1,sc01,t0347, 9.139585734 ,,,,,
period1,sc01,t0348, 12.594811632 ,,,,,
period1,sc01,t0349, 14.029609098 ,,,,,
period1,sc01,t0350, 13.577336484 ,,,,,
period1,sc01,t0351, 11.948060286 ,,,,,
period1,sc01,t0352, 8.929560738 ,,,,,
period1,sc01,t0353, 4.7802653238 ,,,,,
period1,sc01,t0354, 1.031253945 ,,,,,
period1,sc01,t0355, 0.000413043304 ,,,,,
period1,sc01,t0356, 0.000011975424 ,,,,,
period1,sc01,t0357, 0.000013281836 ,,,,,
period1,sc01,t0358, 0.000007838462 ,,,,,
period1,sc01,t0359, 0.000008056196 ,,,,,
period1,sc01,t0360, 0.000007838462 ,,,,,
period1,sc01,t0361, 0.000009362604 ,,,,,
period1,sc01,t0362, 0.00001219316 ,,,,,
period1,sc01,t0363, 0.000011322222 ,,,,,
period1,sc01,t0364, 0.000010669014 ,,,,,
period1,sc01,t0365, 0.000009362604 ,,,,,
period1,sc01,t0366, 0.00001045128 ,,,,,
period1,sc01,t0367, 0.000012410894 ,,,,,
period1,sc01,t0368, 0.00029154717 ,,,,,
period1,sc01,t0369, 0.07967141532 ,,,,,
period1,sc01,t0370, 2.4578667564 ,,,,,
period1,sc01,t0371, 8.187317346 ,,,,,
period1,sc01,t0372, 11.441636976 ,,,,,
period1,sc01,t0373, 12.882071604 ,,,,,
period1,sc01,t0374, 13.64607324 ,,,,,
period1,sc01,t0375, 13.101437448 ,,,,,
period1,sc01,t0376, 10.906204824 ,,,,,
period1,sc01,t0377, 7.351456614 ,,,,,
period1,sc01,t0378, 2.26808457 ,,,,,
period1,sc01,t0379, 0.04418278704 ,,,,,
period1,sc01,t0380, 0.000020902558 ,,,,,
period1,sc01,t0381, 0.000017201066 ,,,,,
period1,sc01,t0382, 0.000010886752 ,,,,,
period1,sc01,t0383, 0.000011757692 ,,,,,
period1,sc01,t0384, 0.000007620724 ,,,,,
period1,sc01,t0385, 0.000008491664 ,,,,,
period1,sc01,t0386, 0.000009580342 ,,,,,
period1,sc01,t0387, 0.000006314316 ,,,,,
period1,sc01,t0388, 0.000008273932 ,,,,,
period1,sc01,t0389, 0.000009362604 ,,,,,
period1,sc01,t0390, 0.000013717306 ,,,,,
period1,sc01,t0391, 0.000032877988 ,,,,,
period1,sc01,t0392, 0.000340537544 ,,,,,
period1,sc01,t0393, 0.28054502052 ,,,,,
period1,sc01,t0394, 5.1460209378 ,,,,,
period1,sc01,t0395, 12.681825066 ,,,,,
period1,sc01,t0396, 17.17048008 ,,,,,
period1,sc01,t0397, 19.321222908 ,,,,,
period1,sc01,t0398, 19.902928098 ,,,,,
period1,sc01,t0399, 18.974867478 ,,,,,
period1,sc01,t0400, 16.064068374 ,,,,,
period1,sc01,t0401, 10.3240032 ,,,,,
period1,sc01,t0402, 2.908473702 ,,,,,
period1,sc01,t0403, 0.03055039842 ,,,,,
period1,sc01,t0404, 0.000033313456 ,,,,,
period1,sc01,t0405, 0.00002264444 ,,,,,
period1,sc01,t0406, 0.000011757692 ,,,,,
period1,sc01,t0407, 0.000009144872 ,,,,,
period1,sc01,t0408, 0.00001045128 ,,,,,
period1,sc01,t0409, 0.000010669014 ,,,,,
period1,sc01,t0410, 0.00001045128 ,,,,,
period1,sc01,t0411, 0.00001219316 ,,,,,
period1,sc01,t0412, 0.000008927134 ,,,,,
period1,sc01,t0413, 0.000011104482 ,,,,,
period1,sc01,t0414, 0.000018507476 ,,,,,
period1,sc01,t0415, 0.00002438632 ,,,,,
period1,sc01,t0416, 0.000300692042 ,,,,,
period1,sc01,t0417, 0.23145013188 ,,,,,
period1,sc01,t0418, 2.306022717 ,,,,,
period1,sc01,t0419, 4.733103921 ,,,,,
period1,sc01,t0420, 5.5669919706 ,,,,,
period1,sc01,t0421, 5.6618046786 ,,,,,
period1,sc01,t0422, 5.6224817382 ,,,,,
period1,sc01,t0423, 4.7007506772 ,,,,,
period1,sc01,t0424, 3.2497929162 ,,,,,
period1,sc01,t0425, 1.6536864684 ,,,,,
period1,sc01,t0426, 0.38537136102 ,,,,,
period1,sc01,t0427, 0.00019182454 ,,,,,
period1,sc01,t0428, 0.00001262863 ,,,,,
period1,sc01,t0429, 0.000013064102 ,,,,,
period1,sc01,t0430, 0.000007838462 ,,,,,
period1,sc01,t0431, 0.000010669014 ,,,,,
period1,sc01,t0432, 0.000009580342 ,,,,,
period1,sc01,t0433, 0.0000087094 ,,,,,
period1,sc01,t0434, 0.000013499572 ,,,,,
period1,sc01,t0435, 0.00001045128 ,,,,,
period1,sc01,t0436, 0.000010233544 ,,,,,
period1,sc01,t0437, 0.000011975424 ,,,,,
period1,sc01,t0438, 0.000012410894 ,,,,,
period1,sc01,t0439, 0.00001393504 ,,,,,
period1,sc01,t0440, 0.000293289052 ,,,,,
period1,sc01,t0441, 0.08259124176 ,,,,,
period1,sc01,t0442, 2.0751016818 ,,,,,
period1,sc01,t0443, 6.483059742 ,,,,,
period1,sc01,t0444, 10.176960216 ,,,,,
period1,sc01,t0445, 11.798110548 ,,,,,
period1,sc01,t0446, 12.247332696 ,,,,,
period1,sc01,t0447, 12.171142866 ,,,,,
period1,sc01,t0448, 10.836899772 ,,,,,
period1,sc01,t0449, 7.790181768 ,,,,,
period1,sc01,t0450, 2.6757367542 ,,,,,
period1,sc01,t0451, 0.07245349998 ,,,,,
period1,sc01,t0452, 0.00003832136 ,,,,,
period1,sc01,t0453, 0.000024604054 ,,,,,
period1,sc01,t0454, 0.000014152774 ,,,,,
period1,sc01,t0455, 0.000010669014 ,,,,,
period1,sc01,t0456, 0.000013064102 ,,,,,
period1,sc01,t0457, 0.000011104482 ,,,,,
period1,sc01,t0458, 0.000009362604 ,,,,,
period1,sc01,t0459, 0.000011104482 ,,,,,
period1,sc01,t0460, 0.000009580342 ,,,,,
period1,sc01,t0461, 0.000009144872 ,,,,,
period1,sc01,t0462, 0.000011322222 ,,,,,
period1,sc01,t0463, 0.00002264444 ,,,,,
period1,sc01,t0464, 0.000330521736 ,,,,,
period1,sc01,t0465, 0.23485332996 ,,,,,
period1,sc01,t0466, 2.9501612448 ,,,,,
period1,sc01,t0467, 7.08336822 ,,,,,
period1,sc01,t0468, 9.852395706 ,,,,,
period1,sc01,t0469, 10.950106734 ,,,,,
period1,sc01,t0470, 10.812404586 ,,,,,
period1,sc01,t0471, 9.300724884 ,,,,,
period1,sc01,t0472, 7.419664284 ,,,,,
period1,sc01,t0473, 4.8697609422 ,,,,,
period1,sc01,t0474, 1.2918370206 ,,,,,
period1,sc01,t0475, 0.000900551978 ,,,,,
period1,sc01,t0476, 0.000012846368 ,,,,,
period1,sc01,t0477, 0.000011322222 ,,,,,
period1,sc01,t0478, 0.000008491664 ,,,,,
period1,sc01,t0479, 0.000011322222 ,,,,,
period1,sc01,t0480, 0.000009798076 ,,,,,
period1,sc01,t0481, 0.000011975424 ,,,,,
period1,sc01,t0482, 0.000011757692 ,,,,,
period1,sc01,t0483, 0.000009144872 ,,,,,
period1,sc01,t0484, 0.000010669014 ,,,,,
period1,sc01,t0485, 0.000009798076 ,,,,,
period1,sc01,t0486, 0.000011539956 ,,,,,
period1,sc01,t0487, 0.000026345934 ,,,,,
period1,sc01,t0488, 0.000336400582 ,,,,,
period1,sc01,t0489, 0.22361167176 ,,,,,
period1,sc01,t0490, 3.92192781 ,,,,,
period1,sc01,t0491, 9.711447138 ,,,,,
period1,sc01,t0492, 12.502285134 ,,,,,
period1,sc01,t0493, 13.219693668 ,,,,,
period1,sc01,t0494, 13.096427358 ,,,,,
period1,sc01,t0495, 11.829967344 ,,,,,
period1,sc01,t0496, 8.47007673 ,,,,,
period1,sc01,t0497, 4.7674102482 ,,,,,
period1,sc01,t0498, 1.5114510774 ,,,,,
period1,sc01,t0499, 0.03364659012 ,,,,,
period1,sc01,t0500, 0.00001611239 ,,,,,
period1,sc01,t0501, 0.000011322222 ,,,,,
period1,sc01,t0502, 0.00001045128 ,,,,,
period1,sc01,t0503, 0.000011104482 ,,,,,
period1,sc01,t0504, 0.000009362604 ,,,,,
period1,sc01,t0505, 0.000011975424 ,,,,,
period1,sc01,t0506, 0.000010015812 ,,,,,
period1,sc01,t0507, 0.000010669014 ,,,,,
period1,sc01,t0508, 0.000009144872 ,,,,,
period1,sc01,t0509, 0.000008273932 ,,,,,
period1,sc01,t0510, 0.00001262863 ,,,,,
period1,sc01,t0511, 0.000062925418 ,,,,,
period1,sc01,t0512, 0.000366665748 ,,,,,
period1,sc01,t0513, 0.24148336092 ,,,,,
period1,sc01,t0514, 4.6071333336 ,,,,,
period1,sc01,t0515, 10.774629732 ,,,,,
period1,sc01,t0516, 14.322395184 ,,,,,
period1,sc01,t0517, 16.081829016 ,,,,,
period1,sc01,t0518, 14.5824165 ,,,,,
period1,sc01,t0519, 13.266325986 ,,,,,
period1,sc01,t0520, 10.939505208 ,,,,,
