Period,Scenario,LoadLevel,Unit,Component,Date,MW
period1,sc01,t0119,BESS_01,vEleReserveCons_Up_TR,2024-09-21 10:29:00,0.0
period1,sc01,t0119,BESS_01,vEleReserveCons_Down_SR,2024-09-21 10:29:00,0.0
period1,sc01,t0119,BESS_01,vEleReserveCons_Down_TR,2024-09-21 10:29:00,0.0
period1,sc01,t0119,BESS_01,vEleReserveProd_Up_SR,2024-09-21 10:29:00,0.0
period1,sc01,t0119,BESS_01,vEleReserveProd_Up_TR,2024-09-21 10:29:00,0.0
period1,sc01,t0119,BESS_01,vEleReserveProd_Down_SR,2024-09-21 10:29:00,0.0
period1,sc01,t0119,BESS_01,vEleReserveProd_Down_TR,2024-09-21 10:29:00,0.0
period1,sc01,t0120,BESS_01,vEleReserveCons_Up_SR,2024-09-21 11:29:00,0.0
period1,sc01,t0120,BESS_01,vEleReserveCons_Up_TR,2024-09-21 11:29:00,0.0
period1,sc01,t0120,BESS_01,vEleReserveCons_Down_SR,2024-09-21 11:29:00,0.0
period1,sc01,t0120,BESS_01,vEleReserveCons_Down_TR,2024-09-21 11:29:00,0.0
period1,sc01,t0120,BESS_01,vEleReserveProd_Up_SR,2024-09-21 11:29:00,0.0
period1,sc01,t0120,BESS_01,vEleReserveProd_Up_TR,2024-09-21 11:29:00,0.0
period1,sc01,t0120,BESS_01,vEleReserveProd_Down_SR,2024-09-21 11:29:00,0.0
period1,sc01,t0120,BESS_01,vEleReserveProd_Down_TR,2024-09-21 11:29:00,0.0
period1,sc01,t0121,BESS_01,vEleReserveCons_Up_SR,2024-09-21 12:29:00,0.0
period1,sc01,t0121,BESS_01,vEleReserveCons_Up_TR,2024-09-21 12:29:00,0.0
period1,sc01,t0121,BESS_01,vEleReserveCons_Down_SR,2024-09-21 12:29:00,0.0
period1,sc01,t0121,BESS_01,vEleReserveCons_Down_TR,2024-09-21 12:29:00,0.0
period1,sc01,t0121,BESS_01,vEleReserveProd_Up_SR,2024-09-21 12:29:00,0.0
period1,sc01,t0121,BESS_01,vEleReserveProd_Up_TR,2024-09-21 12:29:00,0.0
period1,sc01,t0121,BESS_01,vEleReserveProd_Down_SR,2024-09-21 12:29:00,0.0
period1,sc01,t0121,BESS_01,vEleReserveProd_Down_TR,2024-09-21 12:29:00,0.0
period1,sc01,t0122,BESS_01,vEleReserveCons_Up_SR,2024-09-21 13:29:00,0.0
period1,sc01,t0122,BESS_01,vEleReserveCons_Up_TR,2024-09-21 13:29:00,0.0
period1,sc01,t0122,BESS_01,vEleReserveCons_Down_SR,2024-09-21 13:29:00,0.0
period1,sc01,t0122,BESS_01,vEleReserveCons_Down_TR,2024-09-21 13:29:00,0.0
period1,sc01,t0122,BESS_01,vEleReserveProd_Up_SR,2024-09-21 13:29:00,0.0
period1,sc01,t0122,BESS_01,vEleReserveProd_Up_TR,2024-09-21 13:29:00,0.0
period1,sc01,t0122,BESS_01,vEleReserveProd_Down_SR,2024-09-21 13:29:00,0.0
period1,sc01,t0122,BESS_01,vEleReserveProd_Down_TR,2024-09-21 13:29:00,0.0
period1,sc01,t0123,BESS_01,vEleReserveCons_Up_SR,2024-09-21 14:29:00,0.0
period1,sc01,t0123,BESS_01,vEleReserveCons_Up_TR,2024-09-21 14:29:00,0.0
period1,sc01,t0123,BESS_01,vEleReserveCons_Down_SR,2024-09-21 14:29:00,0.0
period1,sc01,t0123,BESS_01,vEleReserveCons_Down_TR,2024-09-21 14:29:00,0.0
period1,sc01,t0123,BESS_01,vEleReserveProd_Up_SR,2024-09-21 14:29:00,0.0
period1,sc01,t0123,BESS_01,vEleReserveProd_Up_TR,2024-09-21 14:29:00,0.0
period1,sc01,t0123,BESS_01,vEleReserveProd_Down_SR,2024-09-21 14:29:00,0.0
period1,sc01,t0123,BESS_01,vEleReserveProd_Down_TR,2024-09-21 14:29:00,0.0
period1,sc01,t0124,BESS_01,vEleReserveCons_Up_SR,2024-09-21 15:29:00,0.0
period1,sc01,t0124,BESS_01,vEleReserveCons_Up_TR,2024-09-21 15:29:00,0.0
period1,sc01,t0124,BESS_01,vEleReserveCons_Down_SR,2024-09-21 15:29:00,0.0
period1,sc01,t0124,BESS_01,vEleReserveCons_Down_TR,2024-09-21 15:29:00,0.0
period1,sc01,t0124,BESS_01,vEleReserveProd_Up_SR,2024-09-21 15:29:00,0.0
period1,sc01,t0124,BESS_01,vEleReserveProd_Up_TR,2024-09-21 15:29:00,0.0
period1,sc01,t0124,BESS_01,vEleReserveProd_Down_SR,2024-09-21 15:29:00,0.0
period1,sc01,t0124,BESS_01,vEleReserveProd_Down_TR,2024-09-21 15:29:00,0.0
period1,sc01,t0125,BESS_01,vEleReserveCons_Up_SR,2024-09-21 16:29:00,0.0
period1,sc01,t0125,BESS_01,vEleReserveCons_Up_TR,2024-09-21 16:29:00,0.0
period1,sc01,t0125,BESS_01,vEleReserveCons_Down_SR,2024-09-21 16:29:00,0.0
period1,sc01,t0125,BESS_01,vEleReserveCons_Down_TR,2024-09-21 16:29:00,0.0
period1,sc01,t0125,BESS_01,vEleReserveProd_Up_SR,2024-09-21 16:29:00,0.0
period1,sc01,t0125,BESS_01,vEleReserveProd_Up_TR,2024-09-21 16:29:00,0.0
period1,sc01,t0125,BESS_01,vEleReserveProd_Down_SR,2024-09-21 16:29:00,0.0
period1,sc01,t0125,BESS_01,vEleReserveProd_Down_TR,2024-09-21 16:29:00,0.0
period1,sc01,t0126,BESS_01,vEleReserveCons_Up_SR,2024-09-21 17:29:00,0.0
period1,sc01,t0126,BESS_01,vEleReserveCons_Up_TR,2024-09-21 17:29:00,0.0
period1,sc01,t0126,BESS_01,vEleReserveCons_Down_SR,2024-09-21 17:29:00,0.0
period1,sc01,t0126,BESS_01,vEleReserveCons_Down_TR,2024-09-21 17:29:00,0.0
period1,sc01,t0126,BESS_01,vEleReserveProd_Up_SR,2024-09-21 17:29:00,0.0
period1,sc01,t0126,BESS_01,vEleReserveProd_Up_TR,2024-09-21 17:29:00,0.0
period1,sc01,t0126,BESS_01,vEleReserveProd_Down_SR,2024-09-21 17:29:00,0.0
period1,sc01,t0126,BESS_01,vEleReserveProd_Down_TR,2024-09-21 17:29:00,0.0
period1,sc01,t0127,BESS_01,vEleReserveCons_Up_SR,2024-09-21 18:29:00,0.0
period1,sc01,t0127,BESS_01,vEleReserveCons_Up_TR,2024-09-21 18:29:00,0.0
period1,sc01,t0127,BESS_01,vEleReserveCons_Down_SR,2024-09-21 18:29:00,0.0
period1,sc01,t0127,BESS_01,vEleReserveCons_Down_TR,2024-09-21 18:29:00,0.0
period1,sc01,t0127,BESS_01,vEleReserveProd_Up_SR,2024-09-21 18:29:00,0.0
period1,sc01,t0127,BESS_01,vEleReserveProd_Up_TR,2024-09-21 18:29:00,0.0
period1,sc01,t0127,BESS_01,vEleReserveProd_Down_SR,2024-09-21 18:29:00,0.0
period1,sc01,t0127,BESS_01,vEleReserveProd_Down_TR,2024-09-21 18:29:00,0.0
period1,sc01,t0128,BESS_01,vEleReserveCons_Up_SR,2024-09-21 19:29:00,0.0
period1,sc01,t0128,BESS_01,vEleReserveCons_Up_TR,2024-09-21 19:29:00,0.0
period1,sc01,t0128,BESS_01,vEleReserveCons_Down_SR,2024-09-21 19:29:00,0.0
period1,sc01,t0128,BESS_01,vEleReserveCons_Down_TR,2024-09-21 19:29:00,0.0
period1,sc01,t0128,BESS_01,vEleReserveProd_Up_SR,2024-09-21 19:29:00,0.0
period1,sc01,t0128,BESS_01,vEleReserveProd_Up_TR,2024-09-21 19:29:00,0.0
period1,sc01,t0128,BESS_01,vEleReserveProd_Down_SR,2024-09-21 19:29:00,0.0
period1,sc01,t0128,BESS_01,vEleReserveProd_Down_TR,2024-09-21 19:29:00,0.0
period1,sc01,t0129,BESS_01,vEleReserveCons_Up_SR,2024-09-21 20:29:00,0.0
period1,sc01,t0129,BESS_01,vEleReserveCons_Up_TR,2024-09-21 20:29:00,0.0
period1,sc01,t0129,BESS_01,vEleReserveCons_Down_SR,2024-09-21 20:29:00,0.0
period1,sc01,t0129,BESS_01,vEleReserveCons_Down_TR,2024-09-21 20:29:00,0.0
period1,sc01,t0129,BESS_01,vEleReserveProd_Up_SR,2024-09-21 20:29:00,0.0
period1,sc01,t0129,BESS_01,vEleReserveProd_Up_TR,2024-09-21 20:29:00,0.0
period1,sc01,t0129,BESS_01,vEleReserveProd_Down_SR,2024-09-21 20:29:00,0.0
period1,sc01,t0129,BESS_01,vEleReserveProd_Down_TR,2024-09-21 20:29:00,0.0
period1,sc01,t0130,BESS_01,vEleReserveCons_Up_SR,2024-09-21 21:29:00,0.0
period1,sc01,t0130,BESS_01,vEleReserveCons_Up_TR,2024-09-21 21:29:00,0.0
period1,sc01,t0130,BESS_01,vEleReserveCons_Down_SR,2024-09-21 21:29:00,0.0
period1,sc01,t0130,BESS_01,vEleReserveCons_Down_TR,2024-09-21 21:29:00,0.0
period1,sc01,t0130,BESS_01,vEleReserveProd_Up_SR,2024-09-21 21:29:00,0.0
period1,sc01,t0130,BESS_01,vEleReserveProd_Up_TR,2024-09-21 21:29:00,0.0
period1,sc01,t0130,BESS_01,vEleReserveProd_Down_SR,2024-09-21 21:29:00,0.0
period1,sc01,t0130,BESS_01,vEleReserveProd_Down_TR,2024-09-21 21:29:00,0.0
period1,sc01,t0131,BESS_01,vEleReserveCons_Up_SR,2024-09-21 22:29:00,0.0
period1,sc01,t0131,BESS_01,vEleReserveCons_Up_TR,2024-09-21 22:29:00,0.0
period1,sc01,t0131,BESS_01,vEleReserveCons_Down_SR,2024-09-21 22:29:00,0.0
period1,sc01,t0131,BESS_01,vEleReserveCons_Down_TR,2024-09-21 22:29:00,0.0
period1,sc01,t0131,BESS_01,vEleReserveProd_Up_SR,2024-09-21 22:29:00,0.0
period1,sc01,t0131,BESS_01,vEleReserveProd_Up_TR,2024-09-21 22:29:00,0.0
period1,sc01,t0131,BESS_01,vEleReserveProd_Down_SR,2024-09-21 22:29:00,0.0
period1,sc01,t0131,BESS_01,vEleReserveProd_Down_TR,2024-09-21 22:29:00,0.0
period1,sc01,t0132,BESS_01,vEleReserveCons_Up_SR,2024-09-21 23:29:00,0.0
period1,sc01,t0132,BESS_01,vEleReserveCons_Up_TR,2024-09-21 23:29:00,0.0
period1,sc01,t0132,BESS_01,vEleReserveCons_Down_SR,2024-09-21 23:29:00,0.0
period1,sc01,t0132,BESS_01,vEleReserveCons_Down_TR,2024-09-21 23:29:00,0.0
period1,sc01,t0132,BESS_01,vEleReserveProd_Up_SR,2024-09-21 23:29:00,0.0
period1,sc01,t0132,BESS_01,vEleReserveProd_Up_TR,2024-09-21 23:29:00,0.0
period1,sc01,t0132,BESS_01,vEleReserveProd_Down_SR,2024-09-21 23:29:00,0.0
period1,sc01,t0132,BESS_01,vEleReserveProd_Down_TR,2024-09-21 23:29:00,0.0
period1,sc01,t0133,BESS_01,vEleReserveCons_Up_SR,2024-09-22 00:29:00,0.0
period1,sc01,t0133,BESS_01,vEleReserveCons_Up_TR,2024-09-22 00:29:00,0.0
period1,sc01,t0133,BESS_01,vEleReserveCons_Down_SR,2024-09-22 00:29:00,0.0
period1,sc01,t0133,BESS_01,vEleReserveCons_Down_TR,2024-09-22 00:29:00,0.0
period1,sc01,t0133,BESS_01,vEleReserveProd_Up_SR,2024-09-22 00:29:00,0.0
period1,sc01,t0133,BESS_01,vEleReserveProd_Up_TR,2024-09-22 00:29:00,0.0
period1,sc01,t0133,BESS_01,vEleReserveProd_Down_SR,2024-09-22 00:29:00,0.0
period1,sc01,t0133,BESS_01,vEleReserveProd_Down_TR,2024-09-22 00:29:00,0.0
period1,sc01,t0134,BESS_01,vEleReserveCons_Up_SR,2024-09-22 01:29:00,0.0
period1,sc01,t0134,BESS_01,vEleReserveCons_Up_TR,2024-09-22 01:29:00,0.0
period1,sc01,t0134,BESS_01,vEleReserveCons_Down_SR,2024-09-22 01:29:00,0.0
period1,sc01,t0134,BESS_01,vEleReserveCons_Down_TR,2024-09-22 01:29:00,0.0
period1,sc01,t0134,BESS_01,vEleReserveProd_Up_SR,2024-09-22 01:29:00,0.0
period1,sc01,t0134,BESS_01,vEleReserveProd_Up_TR,2024-09-22 01:29:00,0.0
period1,sc01,t0134,BESS_01,vEleReserveProd_Down_SR,2024-09-22 01:29:00,0.0
period1,sc01,t0134,BESS_01,vEleReserveProd_Down_TR,2024-09-22 01:29:00,0.0
period1,sc01,t0135,BESS_01,vEleReserveCons_Up_SR,2024-09-22 02:29:00,0.0
period1,sc01,t0135,BESS_01,vEleReserveCons_Up_TR,2024-09-22 02:29:00,0.0
period1,sc01,t0135,BESS_01,vEleReserveCons_Down_SR,2024-09-22 02:29:00,0.0
period1,sc01,t0135,BESS_01,vEleReserveCons_Down_TR,2024-09-22 02:29:00,0.0
period1,sc01,t0135,BESS_01,vEleReserveProd_Up_SR,2024-09-22 02:29:00,0.0
period1,sc01,t0135,BESS_01,vEleReserveProd_Up_TR,2024-09-22 02:29:00,0.0
period1,sc01,t0135,BESS_01,vEleReserveProd_Down_SR,2024-09-22 02:29:00,0.0
period1,sc01,t0135,BESS_01,vEleReserveProd_Down_TR,2024-09-22 02:29:00,0.0
period1,sc01,t0136,BESS_01,vEleReserveCons_Up_SR,2024-09-22 03:29:00,0.0
period1,sc01,t0136,BESS_01,vEleReserveCons_Up_TR,2024-09-22 03:29:00,0.0
period1,sc01,t0136,BESS_01,vEleReserveCons_Down_SR,2024-09-22 03:29:00,0.0
period1,sc01,t0136,BESS_01,vEleReserveCons_Down_TR,2024-09-22 03:29:00,0.0
period1,sc01,t0136,BESS_01,vEleReserveProd_Up_SR,2024-09-22 03:29:00,0.0
period1,sc01,t0136,BESS_01,vEleReserveProd_Up_TR,2024-09-22 03:29:00,0.0
period1,sc01,t0136,BESS_01,vEleReserveProd_Down_SR,2024-09-22 03:29:00,0.0
period1,sc01,t0136,BESS_01,vEleReserveProd_Down_TR,2024-09-22 03:29:00,0.0
period1,sc01,t0137,BESS_01,vEleReserveCons_Up_SR,2024-09-22 04:29:00,0.0
period1,sc01,t0137,BESS_01,vEleReserveCons_Up_TR,2024-09-22 04:29:00,0.0
period1,sc01,t0137,BESS_01,vEleReserveCons_Down_SR,2024-09-22 04:29:00,0.0
period1,sc01,t0137,BESS_01,vEleReserveCons_Down_TR,2024-09-22 04:29:00,0.0
