,,,Node1,Node2,Node3,Node4
period1,sc01,t0164,, 2.5 , 2.5 ,
period1,sc01,t0165,, 2.5 , 2.5 ,
period1,sc01,t0166,, 2.5 , 2.5 ,
period1,sc01,t0167,, 2.5 , 2.5 ,
period1,sc01,t0168,, 2.5 , 2.5 ,
period1,sc01,t0169,, 2.5 , 2.5 ,
period1,sc01,t0170,, 2.5 , 2.5 ,
period1,sc01,t0171,, 2.5 , 2.5 ,
period1,sc01,t0172,, 2.5 , 2.5 ,
period1,sc01,t0173,, 2.5 , 2.5 ,
period1,sc01,t0174,, 2.5 , 2.5 ,
period1,sc01,t0175,, 2.5 , 2.5 ,
period1,sc01,t0176,, 2.5 , 2.5 ,
period1,sc01,t0177,, 2.5 , 2.5 ,
period1,sc01,t0178,, 2.5 , 2.5 ,
period1,sc01,t0179,, 2.5 , 2.5 ,
period1,sc01,t0180,, 2.5 , 2.5 ,
period1,sc01,t0181,, 2.5 , 2.5 ,
period1,sc01,t0182,, 2.5 , 2.5 ,
period1,sc01,t0183,, 2.5 , 2.5 ,
period1,sc01,t0184,, 2.5 , 2.5 ,
period1,sc01,t0185,, 2.5 , 2.5 ,
period1,sc01,t0186,, 2.5 , 2.5 ,
period1,sc01,t0187,, 2.5 , 2.5 ,
period1,sc01,t0188,, 2.5 , 2.5 ,
period1,sc01,t0189,, 2.5 , 2.5 ,
period1,sc01,t0190,, 2.5 , 2.5 ,
period1,sc01,t0191,, 2.5 , 2.5 ,
period1,sc01,t0192,, 2.5 , 2.5 ,
period1,sc01,t0193,, 2.5 , 2.5 ,
period1,sc01,t0194,, 2.5 , 2.5 ,
period1,sc01,t0195,, 2.5 , 2.5 ,
period1,sc01,t0196,, 2.5 , 2.5 ,
period1,sc01,t0197,, 2.5 , 2.5 ,
period1,sc01,t0198,, 2.5 , 2.5 ,
period1,sc01,t0199,, 2.5 , 2.5 ,
period1,sc01,t0200,, 2.5 , 2.5 ,
period1,sc01,t0201,, 2.5 , 2.5 ,
period1,sc01,t0202,, 2.5 , 2.5 ,
period1,sc01,t0203,, 2.5 , 2.5 ,
period1,sc01,t0204,, 2.5 , 2.5 ,
period1,sc01,t0205,, 2.5 , 2.5 ,
period1,sc01,t0206,, 2.5 , 2.5 ,
period1,sc01,t0207,, 2.5 , 2.5 ,
period1,sc01,t0208,, 2.5 , 2.5 ,
period1,sc01,t0209,, 2.5 , 2.5 ,
period1,sc01,t0210,, 2.5 , 2.5 ,
period1,sc01,t0211,, 2.5 , 2.5 ,
period1,sc01,t0212,, 2.5 , 2.5 ,
period1,sc01,t0213,, 2.5 , 2.5 ,
period1,sc01,t0214,, 2.5 , 2.5 ,
period1,sc01,t0215,, 2.5 , 2.5 ,
period1,sc01,t0216,, 2.5 , 2.5 ,
