,,,Tariff
period1,sc01,t0797, 6 
period1,sc01,t0798, 6 
period1,sc01,t0799, 6 
period1,sc01,t0800, 6 
period1,sc01,t0801, 6 
period1,sc01,t0802, 6 
period1,sc01,t0803, 6 
period1,sc01,t0804, 6 
period1,sc01,t0805, 6 
period1,sc01,t0806, 6 
period1,sc01,t0807, 6 
period1,sc01,t0808, 6 
period1,sc01,t0809, 6 
period1,sc01,t0810, 6 
period1,sc01,t0811, 6 
period1,sc01,t0812, 6 
period1,sc01,t0813, 6 
period1,sc01,t0814, 6 
period1,sc01,t0815, 6 
period1,sc01,t0816, 6 
period1,sc01,t0817, 6 
period1,sc01,t0818, 6 
period1,sc01,t0819, 6 
period1,sc01,t0820, 6 
period1,sc01,t0821, 6 
period1,sc01,t0822, 6 
period1,sc01,t0823, 6 
period1,sc01,t0824, 6 
period1,sc01,t0825, 2 
period1,sc01,t0826, 1 
period1,sc01,t0827, 1 
period1,sc01,t0828, 1 
period1,sc01,t0829, 1 
period1,sc01,t0830, 1 
period1,sc01,t0831, 2 
period1,sc01,t0832, 2 
period1,sc01,t0833, 2 
period1,sc01,t0834, 2 
period1,sc01,t0835, 1 
period1,sc01,t0836, 1 
period1,sc01,t0837, 1 
period1,sc01,t0838, 1 
period1,sc01,t0839, 2 
period1,sc01,t0840, 2 
period1,sc01,t0841, 6 
period1,sc01,t0842, 6 
period1,sc01,t0843, 6 
period1,sc01,t0844, 6 
period1,sc01,t0845, 6 
period1,sc01,t0846, 6 
period1,sc01,t0847, 6 
period1,sc01,t0848, 6 
period1,sc01,t0849, 2 
period1,sc01,t0850, 1 
period1,sc01,t0851, 1 
period1,sc01,t0852, 1 
period1,sc01,t0853, 1 
period1,sc01,t0854, 1 
period1,sc01,t0855, 2 
period1,sc01,t0856, 2 
period1,sc01,t0857, 2 
period1,sc01,t0858, 2 
period1,sc01,t0859, 1 
period1,sc01,t0860, 1 
period1,sc01,t0861, 1 
period1,sc01,t0862, 1 
period1,sc01,t0863, 2 
period1,sc01,t0864, 2 
period1,sc01,t0865, 6 
period1,sc01,t0866, 6 
period1,sc01,t0867, 6 
period1,sc01,t0868, 6 
period1,sc01,t0869, 6 
period1,sc01,t0870, 6 
period1,sc01,t0871, 6 
period1,sc01,t0872, 6 
period1,sc01,t0873, 2 
period1,sc01,t0874, 1 
period1,sc01,t0875, 1 
period1,sc01,t0876, 1 
period1,sc01,t0877, 1 
period1,sc01,t0878, 1 
period1,sc01,t0879, 2 
period1,sc01,t0880, 2 
period1,sc01,t0881, 2 
period1,sc01,t0882, 2 
period1,sc01,t0883, 1 
period1,sc01,t0884, 1 
period1,sc01,t0885, 1 
period1,sc01,t0886, 1 
period1,sc01,t0887, 2 
period1,sc01,t0888, 2 
period1,sc01,t0889, 6 
period1,sc01,t0890, 6 
period1,sc01,t0891, 6 
period1,sc01,t0892, 6 
period1,sc01,t0893, 6 
period1,sc01,t0894, 6 
period1,sc01,t0895, 6 
period1,sc01,t0896, 6 
period1,sc01,t0897, 2 
period1,sc01,t0898, 1 
period1,sc01,t0899, 1 
period1,sc01,t0900, 1 
period1,sc01,t0901, 1 
period1,sc01,t0902, 1 
period1,sc01,t0903, 2 
period1,sc01,t0904, 2 
period1,sc01,t0905, 2 
period1,sc01,t0906, 2 
period1,sc01,t0907, 1 
period1,sc01,t0908, 1 
period1,sc01,t0909, 1 
period1,sc01,t0910, 1 
period1,sc01,t0911, 2 
period1,sc01,t0912, 2 
period1,sc01,t0913, 6 
period1,sc01,t0914, 6 
period1,sc01,t0915, 6 
period1,sc01,t0916, 6 
period1,sc01,t0917, 6 
period1,sc01,t0918, 6 
period1,sc01,t0919, 6 
period1,sc01,t0920, 6 
period1,sc01,t0921, 2 
period1,sc01,t0922, 1 
period1,sc01,t0923, 1 
period1,sc01,t0924, 1 
period1,sc01,t0925, 1 
period1,sc01,t0926, 1 
period1,sc01,t0927, 2 
period1,sc01,t0928, 2 
period1,sc01,t0929, 2 
period1,sc01,t0930, 2 
