,Period,Scenario,LoadLevel,Date,Component,MW
109,period1,sc01,t0055,2024-09-18 18:29:00,Wind,6.061000000000001
110,period1,sc01,t0056,2024-09-18 19:29:00,BESS,0.0
111,period1,sc01,t0056,2024-09-18 19:29:00,Wind,13.0625
112,period1,sc01,t0057,2024-09-18 20:29:00,BESS,0.0
113,period1,sc01,t0057,2024-09-18 20:29:00,Wind,18.81
114,period1,sc01,t0058,2024-09-18 21:29:00,BESS,0.0
115,period1,sc01,t0058,2024-09-18 21:29:00,Wind,17.6605
116,period1,sc01,t0059,2024-09-18 22:29:00,BESS,0.0
117,period1,sc01,t0059,2024-09-18 22:29:00,Wind,20.9
118,period1,sc01,t0060,2024-09-18 23:29:00,BESS,0.0
119,period1,sc01,t0060,2024-09-18 23:29:00,Wind,24.9755
120,period1,sc01,t0061,2024-09-19 00:29:00,BESS,0.0
121,period1,sc01,t0061,2024-09-19 00:29:00,Wind,28.633
122,period1,sc01,t0062,2024-09-19 01:29:00,BESS,0.0
123,period1,sc01,t0062,2024-09-19 01:29:00,Wind,33.9625
124,period1,sc01,t0063,2024-09-19 02:29:00,BESS,0.0
125,period1,sc01,t0063,2024-09-19 02:29:00,Wind,40.546
126,period1,sc01,t0064,2024-09-19 03:29:00,BESS,0.0
127,period1,sc01,t0064,2024-09-19 03:29:00,Wind,46.2935
128,period1,sc01,t0065,2024-09-19 04:29:00,BESS,50.0
129,period1,sc01,t0065,2024-09-19 04:29:00,Wind,47.652
130,period1,sc01,t0066,2024-09-19 05:29:00,BESS,50.0
131,period1,sc01,t0066,2024-09-19 05:29:00,Wind,52.877
132,period1,sc01,t0067,2024-09-19 06:29:00,BESS,50.0
133,period1,sc01,t0067,2024-09-19 06:29:00,Wind,57.684
134,period1,sc01,t0068,2024-09-19 07:29:00,BESS,0.0
135,period1,sc01,t0068,2024-09-19 07:29:00,Wind,60.61000000000001
136,period1,sc01,t0069,2024-09-19 08:29:00,BESS,0.0
137,period1,sc01,t0069,2024-09-19 08:29:00,Wind,64.79000000000002
138,period1,sc01,t0070,2024-09-19 09:29:00,BESS,0.0
139,period1,sc01,t0070,2024-09-19 09:29:00,Wind,67.298
140,period1,sc01,t0071,2024-09-19 10:29:00,BESS,0.0
141,period1,sc01,t0071,2024-09-19 10:29:00,Wind,69.179
142,period1,sc01,t0072,2024-09-19 11:29:00,BESS,0.0
143,period1,sc01,t0072,2024-09-19 11:29:00,Wind,68.8655
144,period1,sc01,t0073,2024-09-19 12:29:00,BESS,0.0
145,period1,sc01,t0073,2024-09-19 12:29:00,Wind,67.925
146,period1,sc01,t0074,2024-09-19 13:29:00,BESS,0.0
147,period1,sc01,t0074,2024-09-19 13:29:00,Wind,68.6565
148,period1,sc01,t0075,2024-09-19 14:29:00,BESS,0.0
149,period1,sc01,t0075,2024-09-19 14:29:00,Wind,68.761
