Period,Scenario,LoadLevel,Component,Date,MEUR
period1,sc01,t0047,TotalGCost,2024-09-18 10:29:00,5.69347229101094e-05
period1,sc01,t0047,TotalECost,2024-09-18 10:29:00,0.0
period1,sc01,t0047,TotalCCost,2024-09-18 10:29:00,0.0
period1,sc01,t0047,TotalRCost,2024-09-18 10:29:00,-0.0
period1,sc01,t0048,TotalMCost,2024-09-18 11:29:00,0.0
period1,sc01,t0048,TotalGCost,2024-09-18 11:29:00,5.45246352301094e-05
period1,sc01,t0048,TotalECost,2024-09-18 11:29:00,0.0
period1,sc01,t0048,TotalCCost,2024-09-18 11:29:00,0.0
period1,sc01,t0048,TotalRCost,2024-09-18 11:29:00,-0.0
period1,sc01,t0049,TotalMCost,2024-09-18 12:29:00,0.0002521548313257455
period1,sc01,t0049,TotalGCost,2024-09-18 12:29:00,5.29430151901094e-05
period1,sc01,t0049,TotalECost,2024-09-18 12:29:00,0.0
period1,sc01,t0049,TotalCCost,2024-09-18 12:29:00,0.0
period1,sc01,t0049,TotalRCost,2024-09-18 12:29:00,-0.0
period1,sc01,t0050,TotalMCost,2024-09-18 13:29:00,0.0003421861376199299
period1,sc01,t0050,TotalGCost,2024-09-18 13:29:00,5.1813286590109405e-05
period1,sc01,t0050,TotalECost,2024-09-18 13:29:00,0.0
period1,sc01,t0050,TotalCCost,2024-09-18 13:29:00,0.0
period1,sc01,t0050,TotalRCost,2024-09-18 13:29:00,-0.0
period1,sc01,t0051,TotalMCost,2024-09-18 14:29:00,0.0003882323077186086
period1,sc01,t0051,TotalGCost,2024-09-18 14:29:00,5.1135449430109404e-05
period1,sc01,t0051,TotalECost,2024-09-18 14:29:00,0.0
period1,sc01,t0051,TotalCCost,2024-09-18 14:29:00,0.0
period1,sc01,t0051,TotalRCost,2024-09-18 14:29:00,-0.0
period1,sc01,t0052,TotalMCost,2024-09-18 15:29:00,0.0004274992360082484
period1,sc01,t0052,TotalGCost,2024-09-18 15:29:00,5.06835579901094e-05
period1,sc01,t0052,TotalECost,2024-09-18 15:29:00,0.0
period1,sc01,t0052,TotalCCost,2024-09-18 15:29:00,0.0
period1,sc01,t0052,TotalRCost,2024-09-18 15:29:00,-0.0
period1,sc01,t0053,TotalMCost,2024-09-18 16:29:00,0.00046489787511992995
period1,sc01,t0053,TotalGCost,2024-09-18 16:29:00,5.0457612270109404e-05
period1,sc01,t0053,TotalECost,2024-09-18 16:29:00,0.0
period1,sc01,t0053,TotalCCost,2024-09-18 16:29:00,0.0
period1,sc01,t0053,TotalRCost,2024-09-18 16:29:00,-0.0
period1,sc01,t0054,TotalMCost,2024-09-18 17:29:00,0.00041740089283790675
period1,sc01,t0054,TotalGCost,2024-09-18 17:29:00,5.1210764670109404e-05
period1,sc01,t0054,TotalECost,2024-09-18 17:29:00,0.0
period1,sc01,t0054,TotalCCost,2024-09-18 17:29:00,0.0
period1,sc01,t0054,TotalRCost,2024-09-18 17:29:00,-0.0
period1,sc01,t0055,TotalMCost,2024-09-18 18:29:00,0.0
period1,sc01,t0055,TotalGCost,2024-09-18 18:29:00,5.4223374270109404e-05
period1,sc01,t0055,TotalECost,2024-09-18 18:29:00,0.0
period1,sc01,t0055,TotalCCost,2024-09-18 18:29:00,0.0
period1,sc01,t0055,TotalRCost,2024-09-18 18:29:00,-0.0
period1,sc01,t0056,TotalMCost,2024-09-18 19:29:00,-0.0003469709035355994
period1,sc01,t0056,TotalGCost,2024-09-18 19:29:00,5.92694953501094e-05
