Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,Date,MW
period1,sc01,t0037,Node2,Node4,p1,2024-09-18 00:29:00,-0.0
period1,sc01,t0037,Node3,Node4,p1,2024-09-18 00:29:00,0.14012792459181972
period1,sc01,t0038,Node2,Node3,p1,2024-09-18 01:29:00,0.14012792459181972
period1,sc01,t0038,Node2,Node4,p1,2024-09-18 01:29:00,-0.0
period1,sc01,t0038,Node3,Node4,p1,2024-09-18 01:29:00,0.14012792459181972
period1,sc01,t0039,Node2,Node3,p1,2024-09-18 02:29:00,0.14012792459181972
period1,sc01,t0039,Node2,Node4,p1,2024-09-18 02:29:00,-0.0
period1,sc01,t0039,Node3,Node4,p1,2024-09-18 02:29:00,0.14012792459181972
period1,sc01,t0040,Node2,Node3,p1,2024-09-18 03:29:00,0.14012792459181972
period1,sc01,t0040,Node2,Node4,p1,2024-09-18 03:29:00,-0.0
period1,sc01,t0040,Node3,Node4,p1,2024-09-18 03:29:00,0.14012792459181972
period1,sc01,t0041,Node2,Node3,p1,2024-09-18 04:29:00,0.14012792459181972
period1,sc01,t0041,Node2,Node4,p1,2024-09-18 04:29:00,-0.0
period1,sc01,t0041,Node3,Node4,p1,2024-09-18 04:29:00,0.14012792459181972
period1,sc01,t0042,Node2,Node3,p1,2024-09-18 05:29:00,0.14012792459181972
period1,sc01,t0042,Node2,Node4,p1,2024-09-18 05:29:00,-0.0
period1,sc01,t0042,Node3,Node4,p1,2024-09-18 05:29:00,0.14012792459181972
period1,sc01,t0043,Node2,Node3,p1,2024-09-18 06:29:00,0.14012792459181972
period1,sc01,t0043,Node2,Node4,p1,2024-09-18 06:29:00,-0.0
period1,sc01,t0043,Node3,Node4,p1,2024-09-18 06:29:00,0.14012792459181972
period1,sc01,t0044,Node2,Node3,p1,2024-09-18 07:29:00,0.14012792459181972
period1,sc01,t0044,Node2,Node4,p1,2024-09-18 07:29:00,-0.0
period1,sc01,t0044,Node3,Node4,p1,2024-09-18 07:29:00,0.14012792459181972
period1,sc01,t0045,Node2,Node3,p1,2024-09-18 08:29:00,0.14012792459181972
period1,sc01,t0045,Node2,Node4,p1,2024-09-18 08:29:00,-0.0
period1,sc01,t0045,Node3,Node4,p1,2024-09-18 08:29:00,0.14012792459181972
period1,sc01,t0046,Node2,Node3,p1,2024-09-18 09:29:00,0.14012792459181972
period1,sc01,t0046,Node2,Node4,p1,2024-09-18 09:29:00,-0.0
period1,sc01,t0046,Node3,Node4,p1,2024-09-18 09:29:00,0.14012792459181972
period1,sc01,t0047,Node2,Node3,p1,2024-09-18 10:29:00,0.14012792459181972
period1,sc01,t0047,Node2,Node4,p1,2024-09-18 10:29:00,-0.0
period1,sc01,t0047,Node3,Node4,p1,2024-09-18 10:29:00,0.14012792459181972
period1,sc01,t0048,Node2,Node3,p1,2024-09-18 11:29:00,0.14012792459181972
period1,sc01,t0048,Node2,Node4,p1,2024-09-18 11:29:00,-0.0
period1,sc01,t0048,Node3,Node4,p1,2024-09-18 11:29:00,0.14012792459181972
period1,sc01,t0049,Node2,Node3,p1,2024-09-18 12:29:00,0.14012792459181972
period1,sc01,t0049,Node2,Node4,p1,2024-09-18 12:29:00,-0.0
period1,sc01,t0049,Node3,Node4,p1,2024-09-18 12:29:00,0.14012792459181972
period1,sc01,t0050,Node2,Node3,p1,2024-09-18 13:29:00,0.14012792459181972
period1,sc01,t0050,Node2,Node4,p1,2024-09-18 13:29:00,-0.0
period1,sc01,t0050,Node3,Node4,p1,2024-09-18 13:29:00,0.14012792459181972
period1,sc01,t0051,Node2,Node3,p1,2024-09-18 14:29:00,0.14012792459181972
period1,sc01,t0051,Node2,Node4,p1,2024-09-18 14:29:00,-0.0
period1,sc01,t0051,Node3,Node4,p1,2024-09-18 14:29:00,0.14012792459181972
period1,sc01,t0052,Node2,Node3,p1,2024-09-18 15:29:00,0.14012792459181972
period1,sc01,t0052,Node2,Node4,p1,2024-09-18 15:29:00,-0.0
period1,sc01,t0052,Node3,Node4,p1,2024-09-18 15:29:00,0.14012792459181972
period1,sc01,t0053,Node2,Node3,p1,2024-09-18 16:29:00,0.14012792459181972
period1,sc01,t0053,Node2,Node4,p1,2024-09-18 16:29:00,-0.0
period1,sc01,t0053,Node3,Node4,p1,2024-09-18 16:29:00,0.14012792459181972
period1,sc01,t0054,Node2,Node3,p1,2024-09-18 17:29:00,0.14012792459181972
