,,,SolarPV_01,Wind_01,BESS_01,AEL_01,PEMEL_01
period1,sc01,t0123, 0.0000044454225 , 1.60300970873786 ,,,
period1,sc01,t0124, 0.0000047175925 , 1.3595145631068 ,,,
period1,sc01,t0125, 0.0000047175925 , 1.23776699029126 ,,,
period1,sc01,t0126, 0.00000653205 , 1.25805825242718 ,,,
period1,sc01,t0127, 1.86889208333333E-05 , 1.40009708737864 ,,,
period1,sc01,t0128, 0.000020049765 , 1.66388349514563 ,,,
period1,sc01,t0129, 0.000020049765 , 1.92766990291262 ,,,
period1,sc01,t0130, 1.38265810075 , 1.50155339805825 ,,,
period1,sc01,t0131, 3.668960015 , 0.933398058252427 ,,,
period1,sc01,t0132, 5.0848308725 , 1.48126213592233 ,,,
period1,sc01,t0133, 5.667288335 , 1.88708737864078 ,,,
period1,sc01,t0134, 5.940385185 , 1.98854368932039 ,,,
period1,sc01,t0135, 5.8144309275 , 2.11029126213592 ,,,
period1,sc01,t0136, 5.0315647225 , 2.47553398058252 ,,,
period1,sc01,t0137, 3.102089655 , 3.42922330097087 ,,,
period1,sc01,t0138, 0.695189764 , 4.30174757281553 ,,,
period1,sc01,t0139, 0.000173915835 , 4.30174757281553 ,,,
period1,sc01,t0140, 9.88879833333333E-06 , 3.89592233009709 ,,,
period1,sc01,t0141, 0.0000044454225 , 3.28718446601942 ,,,
period1,sc01,t0142, 3.35674833333333E-06 , 2.71902912621359 ,,,
period1,sc01,t0143, 0.0000043547 , 2.33349514563107 ,,,
period1,sc01,t0144, 4.53614666666667E-06 , 2.21174757281553 ,,,
period1,sc01,t0145, 0.0000047175925 , 2.33349514563107 ,,,
period1,sc01,t0146, 0.0000046268675 , 2.49582524271845 ,,,
period1,sc01,t0147, 3.35674833333333E-06 , 2.49582524271845 ,,,
period1,sc01,t0148, 0.00000498976 , 2.00883495145631 ,,,
period1,sc01,t0149, 5.08048333333333E-06 , 1.3595145631068 ,,,
period1,sc01,t0150, 0.0000059877125 , 0.87252427184466 ,,,
period1,sc01,t0151, 1.46971133333333E-05 , 0.629029126213592 ,,,
period1,sc01,t0152, 0.000020049765 , 0.547864077669903 ,,,
period1,sc01,t0153, 0.000020049765 , 0.486990291262136 ,,,
period1,sc01,t0154, 1.04115979875 , 0.324660194174757 ,,,
period1,sc01,t0155, 2.86664463 , 0.223203883495146 ,,,
period1,sc01,t0156, 4.528858145 , 0.446407766990291 ,,,
period1,sc01,t0157, 5.6844839575 , 0.710194174757282 ,,,
period1,sc01,t0158, 6.238671255 , 0.771067961165049 ,,,
period1,sc01,t0159, 6.098602325 , 0.852233009708738 ,,,
period1,sc01,t0160, 5.2228285925 , 0.973980582524272 ,,,
period1,sc01,t0161, 3.263921195 , 1.44067961165049 ,,,
period1,sc01,t0162, 0.778389031 , 1.70446601941748 ,,,
period1,sc01,t0163, 1.88159333333333E-04 , 1.64359223300971 ,,,
period1,sc01,t0164, 1.40620533333333E-05 , 1.58271844660194 ,,,
period1,sc01,t0165, 0.00000807434 , 1.70446601941748 ,,,
period1,sc01,t0166, 4.53614666666667E-06 , 2.00883495145631 ,,,
period1,sc01,t0167, 4.08253166666667E-06 , 2.43495145631068 ,,,
period1,sc01,t0168, 4.08253166666667E-06 , 2.86106796116505 ,,,
period1,sc01,t0169, 3.99180916666667E-06 , 3.40893203883495 ,,,
period1,sc01,t0170, 0.0000043547 , 4.09883495145631 ,,,
period1,sc01,t0171, 4.26397666666667E-06 , 4.80902912621359 ,,,
period1,sc01,t0172, 4.89903833333333E-06 , 5.3568932038835 ,,,
period1,sc01,t0173, 3.99180916666667E-06 , 6.20912621359223 ,,,
period1,sc01,t0174, 7.43927916666667E-06 , 7.20339805825243 ,,,
period1,sc01,t0175, 0.00001986832 , 8.09621359223301 ,,,
period1,sc01,t0176, 0.00017064981 , 8.74553398058252 ,,,
period1,sc01,t0177, 0.0732351686 , 8.94844660194175 ,,,
period1,sc01,t0178, 1.47826554125 , 7.34543689320388 ,,,
period1,sc01,t0179, 3.9624885725 , 7.14252427184466 ,,,
period1,sc01,t0180, 5.6632248575 , 6.37145631067961 ,,,
period1,sc01,t0181, 6.52988638 , 5.17427184466019 ,,,
period1,sc01,t0182, 6.95608632 , 4.15970873786408 ,,,
period1,sc01,t0183, 6.778877245 , 3.16543689320388 ,,,
period1,sc01,t0184, 5.86987987 , 2.11029126213592 ,,,
period1,sc01,t0185, 3.77847528 , 1.25805825242718 ,,,
period1,sc01,t0186, 0.96922831825 , 0.710194174757282 ,,,
period1,sc01,t0187, 3.07913585833333E-04 , 0.385533980582524 ,,,
period1,sc01,t0188, 0.00001397133 , 0.304368932038835 ,,,
period1,sc01,t0189, 8.34650833333333E-06 , 0.446407766990291 ,,,
period1,sc01,t0190, 3.53819333333333E-06 , 0.689902912621359 ,,,
period1,sc01,t0191, 3.08457916666667E-06 , 0.791359223300971 ,,,
period1,sc01,t0192, 0.000004173255 , 0.771067961165049 ,,,
period1,sc01,t0193, 0.0000044454225 , 0.689902912621359 ,,,
period1,sc01,t0194, 0.0000046268675 , 0.649320388349515 ,,,
period1,sc01,t0195, 4.08253166666667E-06 , 0.710194174757282 ,,,
period1,sc01,t0196, 0.0000044454225 , 0.811650485436893 ,,,
period1,sc01,t0197, 0.0000043547 , 0.95368932038835 ,,,
period1,sc01,t0198, 6.07843583333333E-06 , 1.19718446601942 ,,,
period1,sc01,t0199, 2.10477166666667E-05 , 1.66388349514563 ,,,
period1,sc01,t0200, 0.000171738485 , 2.29291262135922 ,,,
period1,sc01,t0201, 0.10604783365 , 2.73932038834951 ,,,
period1,sc01,t0202, 2.047596308 , 1.94796116504854 ,,,
period1,sc01,t0203, 5.124649155 , 1.86679611650485 ,,,
period1,sc01,t0204, 6.8806493075 , 2.69873786407767 ,,,
period1,sc01,t0205, 7.760723305 , 3.16543689320388 ,,,
period1,sc01,t0206, 8.09928218 , 3.57126213592233 ,,,
period1,sc01,t0207, 7.8010968175 , 3.89592233009709 ,,,
period1,sc01,t0208, 6.7796338725 , 3.9973786407767 ,,,
period1,sc01,t0209, 4.4946628625 , 4.32203883495146 ,,,
period1,sc01,t0210, 1.23186300175 , 4.86990291262136 ,,,
period1,sc01,t0211, 4.12335664166667E-04 , 4.62640776699029 ,,,
period1,sc01,t0212, 0.000013517715 , 4.13941747572815 ,,,
period1,sc01,t0213, 9.97952166666667E-06 , 3.55097087378641 ,,,
period1,sc01,t0214, 4.08253166666667E-06 , 2.86106796116505 ,,,
period1,sc01,t0215, 0.000004808315 , 2.2726213592233 ,,,
period1,sc01,t0216, 3.35674833333333E-06 , 1.86679611650485 ,,,
period1,sc01,t0217, 3.81036333333333E-06 , 1.60300970873786 ,,,
period1,sc01,t0218, 5.08048333333333E-06 , 1.44067961165049 ,,,
period1,sc01,t0219, 3.62891666666667E-06 , 1.27834951456311 ,,,
period1,sc01,t0220, 4.53614666666667E-06 , 1.27834951456311 ,,,
period1,sc01,t0221, 4.53614666666667E-06 , 1.33922330097087 ,,,
period1,sc01,t0222, 7.16711083333333E-06 , 1.40009708737864 ,,,
